date,link,channel,title
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/muziek/maakt-hij-de-stradivarius-van-de-toekomst~a4246706/
       ",VK:Voorpagina,<title>Maakt hij de Stradivarius van de toekomst?</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/sport/supporters-fc-twente-eisen-hun-club-terug~a4246819/
       ",VK:Voorpagina,<title>Supporters FC Twente eisen hun club terug</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/film/filmpionier-blikt-terug-ik-heb-mijn-familie-niet-gespaard~a4246726/
       ",VK:Voorpagina,<title>Filmpionier blikt terug: 'Ik heb mijn familie niet gespaard'</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/buitenland/-ik-moest-de-wereld-laten-zien-wat-er-gebeurt~a4246740/
       ",VK:Voorpagina,<title>'Ik moest de wereld laten zien wat er gebeurt'</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/opinie/een-rookverbod-zou-ons-door-vluchtelingencrisis-helpen~a4246823/
       ",VK:Voorpagina,<title>Een rookverbod zou ons door vluchtelingencrisis helpen</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/beeldende-kunst/vogelen-in-het-mauritshuis~a4246843/
       ",VK:Voorpagina,<title>Vogelen in het Mauritshuis</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/magazine/een-gesprongen-waterleiding-en-niks-doen~a4246746/
       ",VK:Voorpagina,<title>Een gesprongen waterleiding en niks doen</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/televisie/te-koop-gitaar-voor-de-prijs-van-een-rijtjeshuis~a4246779/
       ",VK:Voorpagina,<title>Te koop: gitaar voor de prijs van een rijtjeshuis</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/opinie/hij-begrijpt-niet-waar-wc-papier-voor-bedoeld-is~a4246806/
       ",VK:Voorpagina,<title>Hij begrijpt niet waar wc-papier voor bedoeld is</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/economie/voorzitter-afm-ik-zie-grote-risico-s-en-veel-financiele-pijn~a4246860/
       ",VK:Voorpagina,<title>Voorzitter AFM: 'Ik zie grote risico's en veel financiële pijn'</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/sport/aan-wie-zou-ria-stalman-haar-jaap-eden-trofee-moeten-geven~a4246839/
       ",VK:Voorpagina,<title>Aan wie zou Ria Stalman haar Jaap Eden Trofee moeten geven?</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/opinie/vend-is-leeggezogen-wie-volgt~a4246816/
       ",VK:Voorpagina,"<title>V&amp;D is leeggezogen, wie volgt?</title>"
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/opinie/zo-weinig-op-de-teller-en-nu-al-een-opknapbeurt~a4246866/
       ",VK:Voorpagina,<title>Zo weinig op de teller en nu al een opknapbeurt?</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/buitenland/lords-moeten-inbinden-wetten-blijven-op-kalfshuid-geschreven~a4246870/
       ",VK:Voorpagina,<title>Lords moeten inbinden: wetten blijven op kalfshuid geschreven</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/economie/toezichthouder-consument-leent-te-veel-door-lage-rente~a4246859/
       ",VK:Voorpagina,<title>Toezichthouder: consument leent te veel door lage rente</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/sport/de-leugen-die-sportman-of-vrouw-van-het-jaar-heet~a4246840/
       ",VK:Voorpagina,<title>De leugen die sportman- of vrouw-van-het-jaar heet</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/economie/hele-reeks-shop-in-shops-ook-getroffen-door-ondergang-vend~a4246869/
       ",VK:Voorpagina,<title>Hele reeks shop-in-shops ook getroffen door ondergang V&amp;D</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/opinie/hoe-groot-wilders-ook-wordt-hij-zal-niet-regeren~a4246813/
       ",VK:Voorpagina,"<title>Hoe groot Wilders ook wordt, hij zal niet regeren</title>"
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/televisie/de-man-achter-het-legendarische-nederlandse-zinnetje-uit-friends~a4246829/
       ",VK:Voorpagina,<title>De man achter het legendarische Nederlandse zinnetje uit Friends</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/buitenland/zo-blijf-je-als-afrikaans-dictator-lang-aan-de-macht~a4246836/
       ",VK:Voorpagina,<title>Zo blijf je als Afrikaans dictator lang aan de macht</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/politiek/veel-plannen-nauwelijks-uitvoering~a4246846/
       ",VK:Voorpagina,"<title>Veel plannen, nauwelijks uitvoering</title>"
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/economie/uitzendkracht-moet-steeds-langer-op-vaste-baan-wachten~a4246804/
       ",VK:Voorpagina,<title>Uitzendkracht moet steeds langer op vaste baan wachten</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/magazine/ik-trad-voor-de-zoveelste-keer-op-met-liesbeth~a4246801/
       ",VK:Voorpagina,<title>Ik trad voor de zoveelste keer op met Liesbeth</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/buitenland/china-wil-vs-niet-in-zijn-achtertuin~a4246854/
       ",VK:Voorpagina,<title>China wil VS niet in zijn achtertuin</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/economie/abn-na-zwak-kwartaal-uit-de-gratie~a4246824/
       ",VK:Voorpagina,<title>ABN na zwak kwartaal uit de gratie</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/media/de-aparte-bankrekeningen-van-kim-en-kanye-en-sir-paul-wordt-geweigerd~a4246714/
       ",VK:Voorpagina,<title>De aparte bankrekeningen van Kim en Kanye en Sir Paul wordt geweigerd</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/binnenland/het-weer-opklaringen-waaien-ons-land-in~a4246711/
       ",VK:Voorpagina,<title>Het weer: opklaringen waaien ons land in</title>
"Thu, 18 Feb 2016 01:17:00 GMT","http://www.volkskrant.nl/buitenland/betoging-in-bolivia-loopt-uit-de-hand-zes-doden~a4247065/
       ",VK:Buitenland,<title>Betoging in Bolivia loopt uit de hand: zes doden</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/buitenland/keizer-wilhelm-ii-krijgt-postuum-nog-levenslang~a4246845/
       ",VK:Buitenland,<title>Keizer Wilhelm II krijgt postuum nog levenslang</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/film/filmpionier-blikt-terug-ik-heb-mijn-familie-niet-gespaard~a4246726/
       ",VK:Buitenland,<title>Filmpionier blikt terug: 'Ik heb mijn familie niet gespaard'</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/buitenland/-ik-moest-de-wereld-laten-zien-wat-er-gebeurt~a4246740/
       ",VK:Buitenland,<title>'Ik moest de wereld laten zien wat er gebeurt'</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/buitenland/zo-blijf-je-als-afrikaans-dictator-lang-aan-de-macht~a4246836/
       ",VK:Buitenland,<title>Zo blijf je als Afrikaans dictator lang aan de macht</title>
